Company/Brand,Sector,Amount,HeadQuarter,Funding Year,Founded,Investor
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",0.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Zestl,Software,0.0,"Pune, Maharashtra, India",2018,2020.0,unknown
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",540000000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Pentation Analytics,"Information Services, Information Technology, InsurTech",0.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
PerkFinance,"Consumer Lending, FinTech",900000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Roposo,"Internet, Social Network, TV",10000000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Plum Goodness,"Beauty, Health Care",0.0,"Thane, Maharashtra, India",2018,2020.0,unknown
Drstore,Hospital,0.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Wow Venue,Events,1500000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Chizel,"3D Printing, Manufacturing, Product Design",0.0,"Pune, Maharashtra, India",2018,2020.0,unknown
Khabri,"Apps, Audio",0.0,"Haryana, Haryana, India",2018,2020.0,unknown
MyNewCar.in,"Automotive, E-Commerce",1000000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",5000000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
WheelsEMI,Undisclosed,14000000.0,"Pune, Maharashtra, India",2018,2020.0,unknown
